Retailer,Brand,Pack Size,Package,SKUs Listed,Stores Listed,Max Stores (Retailer),Sales ($),Qty,Month,Price_per_Unit
Walmart,Coca-Cola,2.0,l,4,4605,4710,1269338.4,450120,Jan 2025,2.82
Target,Pepsi,1.5,l,3,1810,1950,275502.5,112450,Jan 2025,2.45
Kroger,Dr Pepper,0.5,l,2,1120,1240,124278.0,75320,Jan 2025,1.65
Walmart,Sprite,0.33,l,2,4510,4710,994140.0,920500,Jan 2025,1.08
Target,Mountain Dew,0.5,l,3,1750,1950,155788.0,98600,Apr 2025,1.58
Kroger,Coca-Cola,1.25,l,4,1205,1240,139320.0,64800,Apr 2025,2.15
Walmart,Fanta,2.0,l,3,4200,4710,592350.0,215400,Apr 2025,2.75
Target,Dr Pepper,0.33,l,2,1680,1950,386512.0,345100,Apr 2025,1.12
Walmart,Coca-Cola,2.0,l,4,4615,4710,1636263.0,582300,Jul 2025,2.81
Target,Pepsi,1.5,l,3,1825,1950,369272.0,148900,Jul 2025,2.48
Kroger,Sprite,0.5,l,2,1150,1240,166992.0,99400,Jul 2025,1.68
Walmart,Mountain Dew,1.25,l,3,4480,4710,635910.0,310200,Jul 2025,2.05
Target,Coca-Cola,0.33,l,4,1890,1950,463904.0,425600,Oct 2025,1.09
Kroger,Pepsi,2.0,l,3,1180,1240,246030.0,88500,Oct 2025,2.78
Walmart,Dr Pepper,0.5,l,4,4590,4710,996786.0,615300,Oct 2025,1.62
Target,Sprite,1.5,l,2,1795,1950,255068.0,105400,Oct 2025,2.42
Walmart,Coca-Cola,2.0,l,4,4625,4710,1307865.0,458900,Jan 2026,2.85
Target,Pepsi,1.5,l,3,1835,1950,286848.0,115200,Jan 2026,2.49
Kroger,Dr Pepper,0.5,l,2,1135,1240,129792.0,76800,Jan 2026,1.69
Walmart,Sprite,0.33,l,2,4530,4710,1047312.0,935100,Jan 2026,1.12
Walmart,Coca-Cola,2.0,l,4,4630,4710,1696890.0,595400,Jul 2026,2.85
Target,Pepsi,1.5,l,3,1850,1950,381500.0,152600,Jul 2026,2.5
Kroger,Sprite,0.5,l,2,1165,1240,174250.0,102500,Jul 2026,1.7
Walmart,Mountain Dew,1.25,l,3,4505,4710,666083.0,318700,Jul 2026,2.09
